X,Y,Z,OBJECTID,lsoa01cd,lsoa01nm,GlobalID
532182,181785,300,1,E01000001,City of London 001A,{EB03E224-61E7-425A-95D9-0FB95D0F6340}
532434,181810,300,2,E01000002,City of London 001B,{6862C484-D0DA-4E09-B390-5C93466F2E18}
532199,182064,300,3,E01000003,City of London 001C,{CBD32753-4D3D-454B-8240-0B355C3E2852}
532107,181183,300,4,E01000004,City of London 001D,{46FCF476-DE05-47A8-BCDE-7066E1154504}
533678,181182,300,5,E01000005,City of London 001E,{89EBE64F-6F21-49F7-B593-46ECD3467F76}
544914,184323,300,6,E01000006,Barking and Dagenham 016A,{57F3E1C2-0B45-4E68-A78F-2A743D864028}
544070,184444,300,7,E01000007,Barking and Dagenham 015A,{4D943F92-6D18-4E33-84E2-AB3847AF3EF6}
543727,184463,300,8,E01000008,Barking and Dagenham 015B,{06A6FE4F-FA63-414E-BAE4-73B5013BF356}
544613,184459,300,9,E01000009,Barking and Dagenham 016B,{3A20AE42-B182-47CD-8C5E-26AC783631CC}
544261,184117,300,10,E01000010,Barking and Dagenham 015C,{17BDC7B6-E89C-48F5-BBB2-1C39D80EAED0}
544385,184719,300,11,E01000011,Barking and Dagenham 016C,{2A5E089B-8067-447C-A51F-6B6FEBB447CE}
543870,184697,300,12,E01000012,Barking and Dagenham 015D,{AE2A3428-5AFA-44DC-8740-8C73B6F182BB}
548982,184910,300,13,E01000013,Barking and Dagenham 013A,{51DD0958-CCD9-4907-B36E-EAEB7DB34B62}
548659,184952,300,14,E01000014,Barking and Dagenham 013B,{A206AE85-5BA7-422B-99F3-E4DF32EB1AFB}
549499,185038,300,15,E01000015,Barking and Dagenham 009A,{578CF804-E3C7-496E-BE1A-78037E941863}
549240,185574,300,16,E01000016,Barking and Dagenham 009B,{480BFE66-0344-4B42-BDCC-E48ADC800C28}
548909,185580,300,17,E01000017,Barking and Dagenham 009C,{DD0D98C8-F07D-417E-A2AE-F82FA0A25DB5}
549311,185261,300,18,E01000018,Barking and Dagenham 009D,{90954C04-90CC-4725-81DE-2B3A72E750DA}
547113,186536,300,19,E01000019,Barking and Dagenham 005A,{DD6CBD44-1D1F-4E31-903E-F9451A6939E5}
547394,186309,300,20,E01000020,Barking and Dagenham 005B,{790DE704-4370-4958-B7E1-005679063224}
546800,186093,300,21,E01000021,Barking and Dagenham 008A,{5CE79E56-76B3-4296-BEC7-56F1A9C16CDC}
547155,186039,300,22,E01000022,Barking and Dagenham 008B,{36656EEE-80FA-4BA1-AD06-EB6CC42DDDA5}
546516,185746,300,23,E01000023,Barking and Dagenham 008C,{4116D413-1061-4D4D-9268-386D77E6E23A}
547135,185711,300,24,E01000024,Barking and Dagenham 008D,{0764B05D-0AFD-4DE8-AC19-E73396B2F0E3}
546956,185517,300,25,E01000025,Barking and Dagenham 008E,{4AE92514-8D43-4B50-A091-2110E3BB5FC9}
547203,186939,300,26,E01000026,Barking and Dagenham 005C,{B549CF0F-70F1-4CF5-974D-CCBDE4F51B1D}
548179,189800,300,27,E01000027,Barking and Dagenham 001A,{CD59C273-B674-43D3-9F7F-880311EEF816}
547627,189501,300,28,E01000028,Barking and Dagenham 001B,{B9B5EAE6-2C98-41EC-B428-57C80B033AF3}
548013,188964,300,29,E01000029,Barking and Dagenham 001C,{255BD592-43DD-4CED-8EC5-4BFC93009839}
548142,189325,300,30,E01000030,Barking and Dagenham 001D,{87CA8069-4BFC-4B88-8940-363C2506AAAF}
548350,188497,300,31,E01000031,Barking and Dagenham 002A,{659B9EF4-C595-408E-B885-F5FECD57F189}
548074,188390,300,32,E01000032,Barking and Dagenham 002B,{8D2FFD65-94DB-4BB7-91FC-42DF3C1492BF}
550052,186228,300,33,E01000033,Barking and Dagenham 006A,{12EE91C9-8C3F-495E-9139-45E5F42CDF6C}
550506,186335,300,34,E01000034,Barking and Dagenham 003A,{652E6A3B-02E0-4E6F-85AB-04C75FF4674F}
550154,185538,300,35,E01000035,Barking and Dagenham 010A,{0FFCD963-8156-4837-AB2F-231EF074B6AF}
550034,185188,300,36,E01000036,Barking and Dagenham 010B,{C65660F1-D5D5-4980-BF2F-BBB455CE5974}
551169,187084,300,37,E01000037,Barking and Dagenham 003B,{BEB18FD8-BAD4-4F17-86C4-966FB7E6FC7C}
550700,187158,300,38,E01000038,Barking and Dagenham 003C,{8E9D3FF2-7D75-4642-81DC-E1CE65E8BE77}
551228,186674,300,39,E01000039,Barking and Dagenham 003D,{D137F84C-F932-4768-B207-7D5C442AE5E0}
545552,184056,300,40,E01000040,Barking and Dagenham 019A,{BE811E79-5A19-4A93-A44A-B946B98FE9F6}
546858,184248,300,41,E01000041,Barking and Dagenham 017A,{114D465B-13DA-48E7-AC83-E117A13A2686}
546152,184168,300,42,E01000042,Barking and Dagenham 017B,{65FD776C-A011-40B6-8940-498FF5B74E59}
545646,183777,300,43,E01000043,Barking and Dagenham 019B,{0BA882D1-A5B8-4725-BCF2-11A9EA99059E}
545110,183948,300,44,E01000044,Barking and Dagenham 016D,{DAA020A5-446E-46B8-8F92-1A04D7317444}
546633,183927,300,45,E01000045,Barking and Dagenham 017C,{7E0DE8CC-F45D-43DF-AB35-EFC0D0D956B5}
547133,184099,300,46,E01000046,Barking and Dagenham 017D,{FFDA6A9A-6882-4989-83F3-31916CEFD7D1}
544260,183540,300,47,E01000047,Barking and Dagenham 021A,{1CB95B1D-AE5B-4B17-9DC6-6CD8EBFDFC79}
544637,183481,300,48,E01000048,Barking and Dagenham 021B,{C4F58818-F708-45CD-BDF0-17175AE7D5C5}
544743,183361,300,49,E01000049,Barking and Dagenham 021C,{D5543767-6FD6-4F68-9297-0B3135DC41E2}
544763,183806,300,50,E01000050,Barking and Dagenham 019C,{B2B3168A-80A6-4B8F-9645-C2FA873253E9}
544540,183741,300,51,E01000051,Barking and Dagenham 021D,{15CE5204-C5F2-4AFF-AB9B-10C17F78A704}
545241,183605,300,52,E01000052,Barking and Dagenham 019D,{0F3ACFA9-2353-44E5-BB62-17FA76628570}
548783,183731,300,53,E01000053,Barking and Dagenham 020A,{21D101A9-0E14-48E0-80BE-EE10C377A935}
547999,184132,300,54,E01000054,Barking and Dagenham 018A,{A486B989-5BE4-486B-B013-7B6EC4071169}
547547,184020,300,55,E01000055,Barking and Dagenham 018B,{6EDE2A74-0CD1-40A2-8869-576421B5F3EC}
548317,183886,300,56,E01000056,Barking and Dagenham 018C,{3FDD83B8-CDD1-4F88-9BE3-27D70ADD1378}
547540,184228,300,57,E01000057,Barking and Dagenham 012A,{450059F6-072E-45A2-8F48-DA7625849C37}
548293,184440,300,58,E01000058,Barking and Dagenham 018D,{4F0AF0A5-722D-46D6-A3BE-E2C3E07D70C9}
548650,184098,300,59,E01000059,Barking and Dagenham 013C,{7DD50B1A-3CEF-4C46-93B0-39B9F684DAEA}
549311,186472,300,60,E01000060,Barking and Dagenham 006B,{7D17B8E3-F97C-403A-8B90-D9730E4C958F}
549320,186867,300,61,E01000061,Barking and Dagenham 006C,{4864F3E7-2D48-4BDC-838F-730F0C4C5C89}
